Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
desc,,,,,,,,,,,,,,,,,,
wrds,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
revenge,X,,X,,X,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
cold,,,,,,,,,,,,,,,,,,
wanting,,,,,,,,,,,,X,,,X,,,
to,,,,,,,,,,,,,,,,,,
retaliate,,,,,,,,,,,,,,,,,,
exes,,,,,,,X,,,,,,,,,,,
petty,X,,X,,X,,,,,,,,,,,,,
anger,X,,X,,X,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
stubborn,X,,X,,X,,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
judgement,,,,,,,,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
ignore,X,,X,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
shame,X,,X,X,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
jealous,X,,X,,X,,,,,,,,,,,,,
justice,,,,,,,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
stuck,,,,,,,,,,,,,,,,,,
stressful,X,,X,X,,,,,,,,,,,,,,
festering,,,,,,,,,,,,,,,,,,
waste,,,,,,,,,,,,,,,,,,
consuming,,,,,,,,,,,,,,,,,,
lingering,,,,,,,,,,,,,,,,,,
pissed,X,,X,,X,,,,,,,,,,,,,
resent,X,,X,,X,,,,,,,,,,,,,
stingy,,,,,,,,,,,,,,,,,,
pride,X,X,,,,,,,,,,,,,,,,
irritability,X,,X,X,,,,,,,,,,,,,,
bitterness,X,,X,,X,,,,,,,,,,,,,
painful,X,,X,,,,,,,,,,,,,,,
madness,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,
resentful,X,,X,,X,,,,,,,,,,,,,
drinking,,,,,,,,,,,,,,,,,,
poison,X,,X,,X,,,,,,,,,,,,,
wrong,X,,X,,,,,,,,,,,,,,,
spite,X,,X,,X,,,,,,,,,,,,,
unfair,X,,X,,,,,,,,,,,,,,,
family,,,,,,,X,X,,,,,,,,,,
friends,,,,,,,X,,X,,,,,,,,,
stony,,,,,,,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,
rage,X,,X,,X,,,,,,,,,,,,,
exhausting,X,,X,,,,,,,,,,,,,,,
nothing,,,,,,,,,,,,X,,,,,X,
someone,,,,,,,X,,,,,X,,,,X,,
immature,,,,,,,,,,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
silent,,,,,,,,,,,,,,,,,,
treatment,,,,,,,,,,,,,,,,,,
emotional,X,,X,,,,,,,,,,,,,,,
annoying,X,,X,,X,,,,,,,,,,,,,
judgemental,,,,,,,,,,,,,,,,,,
bitter,X,,X,,X,,,,,,,,,,,,,
unhealthy,,,,,,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,
upset,X,,X,X,,,,,,,,,,,,,,
contempt,X,,X,,X,,,,,,,,,,,,,
scared,X,,X,X,,,,,,,,,,,,,,
frustrating,X,,X,,X,,,,,,,,,,,,,
decided,,,,,,,,,,,,X,X,,,,,
stodgy,,,,,,,,,,,,,,,,,,
quarrel,,,,,,,,,,,,,,,,,,
vice,,,,,,,,,,,,,,,,,,
punishment,X,,X,,X,,,,,,,,,,,,,
stress,X,,X,X,,,,,,,,,,,,,,
stupidity,X,,X,,X,,,,,,,,,,,,,
bitch,X,,X,,X,,,,,,,,,,,,,
pettiness,,,,,,,,,,,,,,,,,,
small,,,,,,,,,,,,,,,,,,
person,,,,,,,X,,,,,,,,,,,
mean,,,,,,,,,,,,X,X,,,,,
shock,X,,X,,,,,,,,,,,,,,,
why,,,,,,,,,,,,X,,X,,,,
i,,,,,,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
know,,,,,,,,,,,,X,X,,,,,
two,,,,,,,,,,,,,,,,,,
wrongs,X,,X,,,,,,,,,,,,,,,
make,,,,,,,,,,,,X,,X,,,,
a,,,,,,,,,,,,,,,,,,
right,,,,,,,,,,,,,,,,,,
forgiveness,X,X,,,,,X,,,,,X,X,,,,,
futility,,,,,,,,,,,,,,,,,,
sadness,X,,X,,,X,,,,,,,,,,,,
irrational,X,,X,X,,,,,,,,,,,,,,
troublesome,X,,X,,,,,,,,,,,,,,,
jealously,X,,X,,X,,,,,,,,,,,,,
fight,X,,X,,X,,X,,,,,,,,,,,
vengeful,,,,,,,,,,,,,,,,,,
angee,,,,,,,,,,,,,,,,,,
history,,,,,,,,,,,,,,,,,,
destroy,X,,X,,X,,,,,,,,,,,,,
ignoring,X,,X,,,,,,,,,,,,,,,
when,,,,,,,,,,,,,,,,,,
we,,,,,,,X,,,,,,,,,,,
think,,,,,,,,,,,,X,X,,,,,
about,,,,,,,,,,,,,,,,,,
