Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
desc,,,,,,,,,,,,,,,,,,
wrds,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
fear,X,,X,X,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
anger,X,,X,,X,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
unforgiven,,,,,,,,,,,,,,,,,,
spiteful,X,,X,,X,,,,,,,,,,,,,
toxic,,,,,,,,,,,,,,,,,,
frustration,X,,X,,X,,,,,,,,,,,,,
bitter,X,,X,,X,,,,,,,,,,,,,
upsetting,X,,X,X,,,,,,,,,,,,,,
boss,,,,,,,,,,,,,,,,,,
past,,,,,,,,,,,,,,,,,,
painful,X,,X,,,,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
disappointment,X,,X,,,X,,,,,,,,,,,,
avoiding,X,,X,X,,,,,,,,,,,,,,
upset,X,,X,X,,,,,,,,,,,,,,
hard,,,,,,,,,,,,,,,,,,
wounded,,,,,,,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
impulsive,,,,,,,,,,,,,,,,,,
disrespectful,,,,,,,,,,,,,,,,,,
offense,X,,X,,X,,,,,,,,,,,,,
passive,,,,,,,,,,,,,,,,,,
aggressive,X,,X,,X,,,,,,,,,,,,,
stubborn,X,,X,,X,,,,,,,,,,,,,
regret,X,,X,,,X,,,,,,X,,,X,,,
betrayal,,,,,,,,,,,,,,,,,,
despise,X,,X,,X,,,,,,,,,,,,,
getting,,,,,,,,,,,,,,,,,,
even,,,,,,,,,,,,,,,,,,
revenge,X,,X,,X,,,,,,,,,,,,,
injustice,,,,,,,,,,,,,,,,,,
shame,X,,X,X,,,,,,,,,,,,,,
petty,X,,X,,X,,,,,,,,,,,,,
bad,X,,X,,,,,,,,,,,,,,,
roiling,,,,,,,,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
stupid,X,,X,,X,,,,,,,,,,,,,
jealousy,X,,X,,X,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,
term,,,,,,,,,,,,,,,,,,
annoyed,X,,X,,X,,,,,,,,,,,,,
sadness,X,,X,,,X,,,,,,,,,,,,
wasteful,,,,,,,,,,,,,,,,,,
wronged,X,,X,,,,,,,,,,,,,,,
over,,,,,,,,,,,,,,,,,,
caring,X,X,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,
tension,X,,X,X,,,,,,,,,,,,,,
frusteration,,,,,,,,,,,,,,,,,,
unfair,X,,X,,,,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,
problems,X,,X,,,,,,,,,X,,,X,,,
envy,X,,X,,X,,,,,,,,,,,,,
unforgiveness,,,,,,,,,,,,,,,,,,
mistreatment,,,,,,,,,,,,,,,,,,
cheating,X,,X,,X,,,,,,,,,,,,,
miscommunication,,,,,,,,,,,,,,,,,,
harsh,X,,X,,,,,,,,,,,,,,,
rude,X,,X,,X,,,,,,,,,,,,,
remorse,X,,X,,,X,,,,,,,,,,,,
spite,X,,X,,X,,,,,,,,,,,,,
rudeness,,,,,,,,,,,,,,,,,,
bitterness,X,,X,,X,,,,,,,,,,,,,
unforgiving,,,,,,,,,,,,,,,,,,
feel,,,,,,,,,,,,X,X,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
for,,,,,,,,,,,,,,,,,,
someone,,,,,,,X,,,,,X,,,,X,,
noncommunicative,,,,,,,,,,,,,,,,,,
fucking,X,,X,,X,,,,,,,,,,,,,
lengthy,,,,,,,,,,,,,,,,,,
malicious,,,,,,,,,,,,,,,,,,
grudge,X,,X,,X,,X,,,,,,,,,,,
match,,,,,,,,,,,,,,,,,,
pissed,X,,X,,X,,,,,,,,,,,,,
vengeful,,,,,,,,,,,,,,,,,,
egotistical,X,,X,,,,,,,,,,,,,,,
pique,,,,,,,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
close,,,,,,,,,,,,,,,,,,
minded,,,,,,,,,,,,,,,,,,
energy,X,X,,,,,,,,,,,,,,,,
immature,,,,,,,,,,,,,,,,,,
issues,,,,,,,,,,,,,,,,,,
dull,X,,X,,,X,,,,,,,,,,,,
vindictive,,,,,,,,,,,,,,,,,,
dramatic,,,,,,,,,,,,,,,,,,
intimidation,X,,X,,X,,,,,,,,,,,,,
childish,,,,,,,,,,,,,,,,,,
difficult,X,,X,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,X,X,,,,,
spontaneity,,,,,,,,,,,,,,,,,,
republican,,,,,,,,,,,,,,,,,,
retribution,,,,,,,,,,,,,,,,,,
judgement,,,,,,,,,,,,,,,,,,
vengence,,,,,,,,,,,,,,,,,,
silent,,,,,,,,,,,,,,,,,,
family,,,,,,,X,X,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
making,,,,,,,,,,,,X,,X,,,,
good,X,X,,,,,,,,,,,,,,,,
