Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
desc,,,,,,,,,,,,,,,,,,
wrds,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
insult,X,,X,,X,,X,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
emotional,X,,X,,,,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
scorpio,,,,,,,,,,,,,,,,,,
rejection,X,,X,,,X,,,,,,,,,,,,
feeling,,,,,,,,,,,,X,X,,,,,
wronged,X,,X,,,,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
exhausting,X,,X,,,,,,,,,,,,,,,
fighting,X,,X,,X,,X,,,,,,,,,,,
wounded,,,,,,,,,,,,,,,,,,
unattractive,X,,X,,,,,,,,,,,,,,,
significant,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,X,,,,,,X
rude,X,,X,,X,,,,,,,,,,,,,
damaging,X,,X,,,,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
disgusted,X,,X,,,,,,,,,,,,,,,
dissatisfaction,X,,X,,,,,,,,,,,,,,,
ill,,,,,,,,,,,,,,,,,,
communication,,,,,,,X,,,,,,,,,,,
revenge,X,,X,,X,,,,,,,,,,,,,
self,,,,,,,X,,,,,,,,,,,
defense,X,,X,,,,,,,,,,,,,,,
trauma,X,,X,,,,,,,,,,,,,,,
resent,X,,X,,X,,,,,,,,,,,,,
unforgiving,,,,,,,,,,,,,,,,,,
pettiness,,,,,,,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
incident,,,,,,,,,,,,,,,,,,
stubborn,X,,X,,X,,,,,,,,,,,,,
mistake,X,,X,,,,,,,,,X,,,X,,,
caution,,,,,,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
tense,X,,X,X,,,,,,,,,,,,,,
rivalry,,,,,,,,,,,,,,,,,,
stupidity,X,,X,,X,,,,,,,,,,,,,
anger,X,,X,,X,,,,,,,,,,,,,
payback,,,,,,,,,,,,,,,,,,
untrusting,,,,,,,,,,,,,,,,,,
shock,X,,X,,,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
jealous,X,,X,,X,,,,,,,,,,,,,
argumentative,X,,X,,X,,X,,,,,,,,,,,
upsetting,X,,X,X,,,,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
forgiving,X,X,,,,,X,,,,,X,X,,,,,
tightened,,,,,,,,,,,,,,,,,,
fists,,,,,,,,,,,,,,,,,,
non,,,,,,,,,,,,,,,,,,
productive,,,,,,,,,,,,X,,X,,,,
enmity,,,,,,,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
screwed,X,,X,,X,,,,,,,,,,,,,
mistrust,,,,,,,,,,,,,,,,,,
pouty,,,,,,,,,,,,,,,,,,
petty,X,,X,,X,,,,,,,,,,,,,
personal,X,,,,,,X,,,,,,,,,,,
harm,X,,X,,,,,,,,,,,,,,,
enemy,X,,X,,X,,X,,,,,,,,,,,
sadness,X,,X,,,X,,,,,,,,,,,,
fear,X,,X,X,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,
consuming,,,,,,,,,,,,,,,,,,
anxiety,X,,X,X,,,,,,,,,,,,,,
family,,,,,,,X,X,,,,,,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
unforgiven,,,,,,,,,,,,,,,,,,
immature,,,,,,,,,,,,,,,,,,
bitterness,X,,X,,X,,,,,,,,,,,,,
loss,X,,X,,,X,,,,,,,,,,,,
opinion,,,,,,,,,,,,X,,,,X,,
disrespect,,,,,,,,,,,,,,,,,,
jealousy,X,,X,,X,,,,,,,,,,,,,
bitter,X,,X,,X,,,,,,,,,,,,,
guilt,X,,X,X,,,,,,,,,,,,,,
why,,,,,,,,,,,,X,,X,,,,
feelings,,,,,,,,,,,,X,X,,,,,
awkward,X,,X,X,,,X,,,,,,,,,,,
unforgiveness,,,,,,,,,,,,,,,,,,
lingering,,,,,,,,,,,,,,,,,,
obsession,X,,X,X,,,,,,,,,,,,,,
remembering,,,,,,,,,,,,X,X,,,,,
how,,,,,,,,,,,,X,,X,,,,
you,,,,,,,X,,,,,,,,,,,
felt,,,,,,,,,,,,X,X,,,,,
when,,,,,,,,,,,,,,,,,,
someone,,,,,,,X,,,,,X,,,,X,,
vengeful,,,,,,,,,,,,,,,,,,
irrational,X,,X,X,,,,,,,,,,,,,,
obstacle,,,,,,,,,,,,,,,,,,
die,,,,,,,,,,,,,,,,,,
waste,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,
bad,X,,X,,,,,,,,,,,,,,,
violence,X,,X,,,,,,,,,,,,,,,
frustration,X,,X,,X,,,,,,,,,,,,,
furious,X,,X,,X,,,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
overcritical,,,,,,,,,,,,,,,,,,
confusion,,,,,,,,,,,,X,,,,X,,
curse,X,,X,,,,,,,,,,,,,,,
longing,X,,X,,,X,,,,,,,,,,,,
complicated,,,,,,,,,,,,X,X,,,,,
burden,X,,X,,,,,,,,,,,,,,,
childish,,,,,,,,,,,,,,,,,,
distrust,X,,X,,X,,,,,,,,,,,,,
empty,X,,X,,,X,,,,,,,,,,,,
pride,X,X,,,,,,,,,,,,,,,,
upset,X,,X,X,,,,,,,,,,,,,,
difficult,X,,X,,,,,,,,,,,,,,,
blood,,,,,,,,,,,,,,,,,,
fight,X,,X,,X,,X,,,,,,,,,,,
preservation,,,,,,,,,,,,,,,,,,
judgmental,,,,,,,,,,,,,,,,,,
negativity,,,,,,,,,,,,,,,,,,
reserved,,,,,,,,,,,,,,,,,,
getting,,,,,,,,,,,,,,,,,,
even,,,,,,,,,,,,,,,,,,
irrationality,X,,X,X,,,,,,,,,,,,,,
ignorance,,,,,,,,,,,,,,,,,,
right,,,,,,,,,,,,,,,,,,
ignore,X,,X,,,,,,,,,,,,,,,
friends,,,,,,,X,,X,,,,,,,,,
hating,X,,X,,X,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
person,,,,,,,X,,,,,,,,,,,
immaturity,,,,,,,,,,,,,,,,,,
annoyance,,,,,,,,,,,,,,,,,,
pessimistic,X,,X,,,X,,,,,,,,,,,,
vitriol,,,,,,,,,,,,,,,,,,
vindictiveness,,,,,,,,,,,,,,,,,,
confused,X,,X,X,,,,,,,,X,,,,X,,
concieted,,,,,,,,,,,,,,,,,,
focused,,,,,,,,,,,,,,,,,,
justice,,,,,,,,,,,,,,,,,,
lose,X,,X,,,X,,,,,,,,,,,,
lewd,,,,,,,,,,,,,,,,,,
reciprocate,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
know,,,,,,,,,,,,X,X,,,,,
ungodly,,,,,,,,,,,,,,,,,,
trust,X,X,,,,,X,,,,,,,,,,,
stubbornness,X,,X,,X,,,,,,,,,,,,,
disgust,X,,X,,,,,,,,,,,,,,,
suffering,X,,X,,,X,,,,,,,,,,,,
anticlimatic,,,,,,,,,,,,,,,,,,
dislike,X,,X,,,,,,,,,,,,,,,
argue,X,,X,,X,,X,,,,,,,,,,,
annoying,X,,X,,X,,,,,,,,,,,,,
arrogance,X,,X,,,,,,,,,,,,,,,
money,,,,,,,,,,,,,,,,,,
wrong,X,,X,,,,,,,,,,,,,,,
avoid,X,,X,X,,,,,,,,,,,,,,
comeuppance,,,,,,,,,,,,,,,,,,
venom,,,,,,,,,,,,,,,,,,
break,,,,,,,,,,,,,,,,,,
abrasive,,,,,,,,,,,,,,,,,,
disapointment,,,,,,,,,,,,,,,,,,
unforgetful,,,,,,,,,,,,,,,,,,
grumpy,,,,,,,,,,,,,,,,,,
unforgivable,,,,,,,,,,,,,,,,,,
emotion,X,,,,,,,,,,,,,,,,,
avoiding,X,,X,X,,,,,,,,,,,,,,
spite,X,,X,,X,,,,,,,,,,,,,
toxic,,,,,,,,,,,,,,,,,,
short,,,,,,,,,,,,,,,,,,
sighted,,,,,,,,,,,,,,,,,,
frustrated,X,,X,,X,,,,,,,,,,,,,
regret,X,,X,,,X,,,,,,X,,,X,,,
spiteful,X,,X,,X,,,,,,,,,,,,,
pissed,X,,X,,X,,,,,,,,,,,,,
painful,X,,X,,,,,,,,,,,,,,,
disquiet,,,,,,,,,,,,,,,,,,
thing,,,,,,,,,,,,,,,,,,
heated,,,,,,,,,,,,,,,,,,
rancour,,,,,,,,,,,,,,,,,,
hurtful,X,,X,,,X,,,,,,,,,,,,
fixed,,,,,,,,,,,,,,,,,,
justified,,,,,,,,,,,,X,X,X,,,,
bullheaded,,,,,,,,,,,,,,,,,,
unfair,X,,X,,,,,,,,,,,,,,,
loneliness,X,,X,,,X,,,,,,,,,,,,
stress,X,,X,X,,,,,,,,,,,,,,
goodreads,,,,,,,,,,,,,,,,,,
misuse,,,,,,,,,,,,,,,,,,
power,,,,,,,,,,,,,,,,,,
always,,,,,,,,,,,,X,,,,,X,
disloyal,,,,,,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,X,,,,X,,
cases,,,,,,,,,,,,,,,,,,
look,,,,,,,,,,,,,,,,,,
and,,,,,,,,,,,,,,,,,,
hiss,,,,,,,,,,,,,,,,,,
fracture,,,,,,,,,,,,,,,,,,
hard,,,,,,,,,,,,,,,,,,
sulking,,,,,,,,,,,,,,,,,,
ridiculous,X,,X,,X,,,,,,,,,,,,,
arguments,X,,X,,X,,X,,,,,,,,,,,
avoidance,X,,X,X,,,,,,,,,,,,,,
rancor,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,
deep,,,,,,,,,,,,,,,,,,
living,,,,,,,,,,,,,,,,,,
