Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
desc,,,,,,,,,,,,,,,,,,
wrds,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
money,,,,,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
painful,X,,X,,,,,,,,,,,,,,,
mistrust,,,,,,,,,,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,
unforgiving,,,,,,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
fury,X,,X,,X,,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,
resentful,X,,X,,X,,,,,,,,,,,,,
unproductive,,,,,,,,,,,,,,,,,,
conflict,,,,,,,,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
shocked,X,,X,,,,,,,,,,,,,,,
waste,,,,,,,,,,,,,,,,,,
anger,X,,X,,X,,,,,,,,,,,,,
one,,,,,,,,,,,,,,,,,,
sided,,,,,,,,,,,,,,,,,,
enemy,X,,X,,X,,X,,,,,,,,,,,
loathe,,,,,,,,,,,,,,,,,,
mute,,,,,,,,,,,,,,,,,,
injustice,,,,,,,,,,,,,,,,,,
rude,X,,X,,X,,,,,,,,,,,,,
unhealthy,,,,,,,,,,,,,,,,,,
deserved,,,,,,,,,,,,,,,,,,
wronged,X,,X,,,,,,,,,,,,,,,
hesitancy,X,,X,X,,,,,,,,X,,,,X,,
stuck,,,,,,,,,,,,,,,,,,
bad,X,,X,,,,,,,,,,,,,,,
passion,X,X,,,,,,,,,,,,,,,,
petty,X,,X,,X,,,,,,,,,,,,,
self,,,,,,,X,,,,,,,,,,,
worth,,,,,,,,,,,,,,,,,,
deserve,,,,,,,,,,,,,,,,,,
pettyness,,,,,,,,,,,,,,,,,,
guilt,X,,X,X,,,,,,,,,,,,,,
disappointed,X,,X,,,X,,,,,,,,,,,,
childish,,,,,,,,,,,,,,,,,,
distant,,,,,,,,,,,,,,,,,,
wrong,X,,X,,,,,,,,,,,,,,,
hardened,,,,,,,,,,,,,,,,,,
heart,,,,,,,,,,,,,,,,,,
forgiveness,X,X,,,,,X,,,,,X,X,,,,,
ineffective,X,,X,,,,,,,,,,,,,,,
bitterness,X,,X,,X,,,,,,,,,,,,,
obsession,X,,X,X,,,,,,,,,,,,,,
wasteful,,,,,,,,,,,,,,,,,,
emotions,X,,,,,,,,,,,,,,,,,
revenge,X,,X,,X,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,
ignore,X,,X,,,,,,,,,,,,,,,
unjust,,,,,,,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
irrationality,X,,X,X,,,,,,,,,,,,,,
wrongdoing,X,,X,,,,,,,,,,,,,,,
distance,,,,,,,,,,,,,,,,,,
obsessive,X,,X,X,,,,,,,,,,,,,,
immature,,,,,,,,,,,,,,,,,,
friends,,,,,,,X,,X,,,,,,,,,
reprimanding,,,,,,,,,,,,,,,,,,
wounded,,,,,,,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
suspicion,X,,X,X,,,,,,,,X,X,,,,,
sadness,X,,X,,,X,,,,,,,,,,,,
lonely,X,,X,,,X,,,,,,,,,,,,
selfish,X,,X,,,,,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
talking,,,,,,,X,,,,,,,,,,,
justified,,,,,,,,,,,,X,X,X,,,,
blame,X,,X,,X,,X,,,,,,,,,,,
pissed,X,,X,,X,,,,,,,,,,,,,
burden,X,,X,,,,,,,,,,,,,,,
linger,,,,,,,,,,,,,,,,,,
disappointment,X,,X,,,X,,,,,,,,,,,,
unforgettable,,,,,,,,,,,,,,,,,,
loneliness,X,,X,,,X,,,,,,,,,,,,
irritated,X,,X,X,,,,,,,,,,,,,,
keeping,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
same,,,,,,,,,,,,,,,,,,
stance,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
towards,,,,,,,,,,,,,,,,,,
someone,,,,,,,X,,,,,X,,,,X,,
poison,X,,X,,X,,,,,,,,,,,,,
harsh,X,,X,,,,,,,,,,,,,,,
displeasure,,,,,,,,,,,,,,,,,,
karma,,,,,,,,,,,,,,,,,,
energy,X,X,,,,,,,,,,,,,,,,
fight,X,,X,,X,,X,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,
and,,,,,,,,,,,,,,,,,,
secluded,,,,,,,,,,,,,,,,,,
war,X,,X,,X,,,,,,,,,,,,,
forgive,X,X,,,,,X,,,,,X,X,,,,,
narrow,,,,,,,,,,,,,,,,,,
minded,,,,,,,,,,,,,,,,,,
cold,,,,,,,,,,,,,,,,,,
uninteresting,,,,,,,,,,,,,,,,,,
toxic,,,,,,,,,,,,,,,,,,
stubborn,X,,X,,X,,,,,,,,,,,,,
