Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
desc,,,,,,,,,,,,,,,,,,
wrds,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
slight,,,,,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
consuming,,,,,,,,,,,,,,,,,,
trauma,X,,X,,,,,,,,,,,,,,,
passivity,,,,,,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
wanting,,,,,,,,,,,,X,,,X,,,
to,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,X,,,,,,X
person,,,,,,,X,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
letting,,,,,,,,,,,,,,,,,,
go,,,,,,,,,,,,,,,,,,
stubborn,X,,X,,X,,,,,,,,,,,,,
always,,,,,,,,,,,,X,,,,,X,
anger,X,,X,,X,,,,,,,,,,,,,
stressful,X,,X,X,,,,,,,,,,,,,,
disrespect,,,,,,,,,,,,,,,,,,
bitter,X,,X,,X,,,,,,,,,,,,,
upset,X,,X,X,,,,,,,,,,,,,,
resentful,X,,X,,X,,,,,,,,,,,,,
effort,,,,,,,,,,,,,,,,,,
petty,X,,X,,X,,,,,,,,,,,,,
blame,X,,X,,X,,X,,,,,,,,,,,
family,,,,,,,X,X,,,,,,,,,,
mean,,,,,,,,,,,,X,X,,,,,
distant,,,,,,,,,,,,,,,,,,
childishness,,,,,,,,,,,,,,,,,,
loss,X,,X,,,X,,,,,,,,,,,,
difficult,X,,X,,,,,,,,,,,,,,,
undeserved,,,,,,,,,,,,,,,,,,
betray,,,,,,,,,,,,,,,,,,
trapped,,,,,,,,,,,,,,,,,,
emotion,X,,,,,,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
personal,X,,,,,,X,,,,,,,,,,,
health,,,,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,
embarassed,,,,,,,,,,,,,,,,,,
hurtful,X,,X,,,X,,,,,,,,,,,,
loneliness,X,,X,,,X,,,,,,,,,,,,
life,,,,,,,,,,,,,,,,,,
span,,,,,,,,,,,,,,,,,,
shortening,,,,,,,,,,,,,,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
revenge,X,,X,,X,,,,,,,,,,,,,
useless,X,,X,,,X,,,,,,,,,,,,
fruitless,,,,,,,,,,,,,,,,,,
deceived,X,,X,,,,,,,,,X,,X,,,,
fixated,,,,,,,,,,,,,,,,,,
mistreat,,,,,,,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
unforgiving,,,,,,,,,,,,,,,,,,
simmering,,,,,,,,,,,,,,,,,,
idiocy,,,,,,,,,,,,,,,,,,
tension,X,,X,X,,,,,,,,,,,,,,
isolation,X,,X,,,X,,,,,,,,,,,,
doubt,X,,X,X,,,,,,,,X,,,,X,,
loathing,,,,,,,,,,,,,,,,,,
divisive,,,,,,,,,,,,,,,,,,
selfishness,X,,X,,,,,,,,,,,,,,,
enemies,X,,X,,X,,X,,,,,,,,,,,
stolen,,,,,,,,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
confused,X,,X,X,,,,,,,,X,,,,X,,
spite,X,,X,,X,,,,,,,,,,,,,
pissed,X,,X,,X,,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
frustration,X,,X,,X,,,,,,,,,,,,,
pretentious,,,,,,,,,,,,,,,,,,
disappointment,X,,X,,,X,,,,,,,,,,,,
cold,,,,,,,,,,,,,,,,,,
shoulder,,,,,,,,,,,,,,,,,,
protective,,,,,,,,,,,,,,,,,,
bad,X,,X,,,,,,,,,,,,,,,
envy,X,,X,,X,,,,,,,,,,,,,
malice,,,,,,,,,,,,,,,,,,
annoyed,X,,X,,X,,,,,,,,,,,,,
conflict,,,,,,,,,,,,,,,,,,
pervasive,,,,,,,,,,,,,,,,,,
sabotage,,,,,,,,,,,,,,,,,,
done,,,,,,,,,,,,,,,,,,
rejection,X,,X,,,X,,,,,,,,,,,,
pride,X,X,,,,,,,,,,,,,,,,
forgetting,,,,,,,,,,,,,,,,,,
childish,,,,,,,,,,,,,,,,,,
slighted,,,,,,,,,,,,,,,,,,
wrong,X,,X,,,,,,,,,,,,,,,
emotionally,,,,,,,,,,,,,,,,,,
draining,,,,,,,,,,,,,,,,,,
sadness,X,,X,,,X,,,,,,,,,,,,
furious,X,,X,,X,,,,,,,,,,,,,
forgive,X,X,,,,,X,,,,,X,X,,,,,
and,,,,,,,,,,,,,,,,,,
forget,,,,,,,,,,,,,,,,,,
emotional,X,,X,,,,,,,,,,,,,,,
rage,X,,X,,X,,,,,,,,,,,,,
stop,,,,,,,,,,,,,,,,,,
tightness,,,,,,,,,,,,,,,,,,
scream,X,,X,,,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
bossy,,,,,,,,,,,,,,,,,,
alone,X,,X,,,X,,,,,,,,,,,,
uncaring,,,,,,,,,,,,,,,,,,
