Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
friends,,,,,,,X,,X,,,,,,,,,
insuls,,,,,,,,,,,,,,,,,,
kid,,,,,,,X,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
if,,,,,,,,,,,,X,,,X,X,,X
someone,,,,,,,X,,,,,X,,,,X,,
has,,,,,,,,,,,,,,,,,,
done,,,,,,,,,,,,,,,,,,
something,,,,,,,,,,,,X,,,,X,,
to,,,,,,,,,,,,,,,,,,
significantly,,,,,,,,,,,,,,,,,,
impact,,,,,,,,,,,,,,,,,,
your,,,,,,,X,,,,,,,,,,,
life,,,,,,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,
manner,,,,,,,,,,,,,,,,,,
it,,,,,,,,,,,,,,,,,,
may,,,,,,,,,,,,X,,,,X,,
be,,,,,,,,,,,,,,,,,,
appropriate,,,,,,,,,,,,,,,,,,
hold,,,,,,,,,,,,,,,,,,
grudge,X,,X,,X,,X,,,,,,,,,,,
eg.,,,,,,,,,,,,,,,,,,
physically,,,,,,,,,,,,,,,,,,
abusing,X,,X,,X,,,,,,,,,,,,,
you,,,,,,,X,,,,,,,,,,,
at,,,,,,,,,,,,,,,,,,
younger,,,,,,,,,,,,,,,,,,
age,,,,,,,,,,,,,,,,,,
emotionally,,,,,,,,,,,,,,,,,,
manipulating,,,,,,,,,,,,X,,X,,,,
etc,,,,,,,,,,,,,,,,,,
physical,,,,,,,,,,,,,,,,,,
emotional,X,,X,,,,,,,,,,,,,,,
mental,,,,,,,,,,,,,,,,,,
abuse,X,,X,,X,,,,,,,,,,,,,
wronged,X,,X,,,,,,,,,,,,,,,
or,,,,,,,,,,,,X,,,,X,,X
close,,,,,,,,,,,,,,,,,,
circumstance,,,,,,,,,,,,,,,,,,
where,,,,,,,,,,,,,,,,,,
is,,,,,,,,,,,,,,,,,,
okay,X,X,,,,,,,,,,,,,,,,
one,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,X,,,,,,X
party,X,X,,,,,X,,,,,,,,,,,
commits,,,,,,,,,,,,X,,,,,X,
an,,,,,,,,,,,,,,,,,,
act,,,,,,,,,,,,,,,,,,
that,,,,,,,,,,,,,,,,,,
objectively,,,,,,,,,,,,,,,,,,
unforgivable,,,,,,,,,,,,,,,,,,
and,,,,,,,,,,,,,,,,,,
intentional,,,,,,,,,,,,X,,X,,,,
acts,,,,,,,,,,,,,,,,,,
erratically,,,,,,,,,,,,,,,,,,
violently,X,,X,,X,,,,,,,,,,,,,
out,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
for,,,,,,,,,,,,,,,,,,
no,,,,,,,,,,,,,,,,,,
good,X,X,,,,,,,,,,,,,,,,
reason,,,,,,,,,,,,X,X,X,,,,
understandable,,,,,,,,,,,,X,X,,,,,
i,,,,,,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
know,,,,,,,,,,,,X,X,,,,,
ever,,,,,,,,,,,,X,,,,,X,
think,,,,,,,,,,,,X,X,,,,,
it's,,,,,,,,,,,,,,,,,,
right,,,,,,,,,,,,,,,,,,
people,,,,,,,X,,,,,,,,,,,
need,,,,,,,,,,,,X,,,X,,,
always,,,,,,,,,,,,X,,,,,X,
forgive,X,X,,,,,X,,,,,X,X,,,,,
they,,,,,,,X,,,,,,,,,,,
should,,,,,,,,,,,,X,,,X,,,
forget,,,,,,,,,,,,,,,,,,
but,,,,,,,,,,,,X,,,,,,X
that's,,,,,,,,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
same,,,,,,,,,,,,,,,,,,
as,,,,,,,,,,,,,,,,,,
holding,,,,,,,,,,,,,,,,,,
active,X,X,,,,,,,,,,,,,,,,
just,,,,,,,,,,,,,,,,,,
causes,,,,,,,,,,,,X,,X,,,,
holder,,,,,,,,,,,,,,,,,,
harm,X,,X,,,,,,,,,,,,,,,
when,,,,,,,,,,,,,,,,,,
thought,,,,,,,,,,,,X,X,,,,,
cared,X,X,,,,,,,,,,,,,,,,
about,,,,,,,,,,,,,,,,,,
does,,,,,,,,,,,,,,,,,,
purposefully,,,,,,,,,,,,X,,X,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
justified,,,,,,,,,,,,X,X,X,,,,
its,,,,,,,,,,,,,,,,,,
person,,,,,,,X,,,,,,,,,,,
seriously,X,,X,,,,,,,,,,,,,,,
harmful,X,,X,,,,,,,,,,,,,,,
refuses,,,,,,,X,,,,,,,,,,,
take,,,,,,,,,,,,,,,,,,
accountability,,,,,,,,,,,,,,,,,,
change,,,,,,,,,,,,X,,X,,,,
their,,,,,,,X,,,,,,,,,,,
behavior,,,,,,,,,,,,,,,,,,
future,,,,,,,,,,,,,,,,,,
breach,,,,,,,,,,,,,,,,,,
trust,X,X,,,,,X,,,,,,,,,,,
incident,,,,,,,,,,,,,,,,,,
are,,,,,,,,,,,,,,,,,,
likely,,,,,,,,,,,,X,,,,X,,
occur,,,,,,,,,,,,,,,,,,
again,,,,,,,,,,,,,,,,,,
use,,,,,,,,,,,,X,,X,,,,
order,,,,,,,,,,,,,,,,,,
motivate,,,,,,,,,,,,X,X,X,,,,
keep,,,,,,,,,,,,,,,,,,
moving,,,,,,,,,,,,,,,,,,
forward,,,,,,,,,,,,,,,,,,
so,,,,,,,,,,,,,,,,,,
could,,,,,,,,,,,,X,,,X,,,
become,,,,,,,,,,,,X,X,,,,,
stronger,X,X,,,,,,,,,,,,,,,,
than,,,,,,,,,,,,X,,,,,,X
were,,,,,,,,,,,,,,,,,,
last,,,,,,,,,,,,,,,,,,
time,,,,,,,,,,,,,,,,,,
harmed,X,,X,,,,,,,,,,,,,,,
loved,X,X,,,,,X,,,,,,,,,,,
mentally,,,,,,,,,,,,,,,,,,
do,,,,,,,,,,,,,,,,,,
cases,,,,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,
been,,,,,,,,,,,,,,,,,,
violated,X,,X,,X,,,,,,,,,,,,,
example,,,,,,,,,,,,,,,,,,
infidelity,,,,,,,,,,,,,,,,,,
spouce,,,,,,,,,,,,,,,,,,
cheating,X,,X,,X,,,,,,,,,,,,,
others,,,,,,,,,,,,X,,,,,,X
lot,,,,,,,,,,,,X,,,,X,,
money,,,,,,,,,,,,,,,,,,
would,,,,,,,,,,,,X,,,X,,,
also,,,,,,,,,,,,,,,,,,
worthy,,,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
deliberately,,,,,,,,,,,,,,,,,,
caused,,,,,,,,,,,,X,,X,,,,
bodily,,,,,,,,,,,,,,,,,,
steals,X,,X,,,,,,,,,,,,,,,
being,,,,,,,,,,,,,,,,,,
deliberatly,,,,,,,,,,,,,,,,,,
rude,X,,X,,X,,,,,,,,,,,,,
hurting,X,,X,,,X,,,,,,,,,,,,
feelings,,,,,,,,,,,,X,X,,,,,
serious,X,,X,,,,,,,,,,,,,,,
did,,,,,,,,,,,,,,,,,,
repent,,,,,,,,,,,,,,,,,,
reform,,,,,,,,,,,,,,,,,,
ok,X,X,,,,,,,,,,,,,,,,
against,,,,,,,,,,,,X,,,,,,X
whom,,,,,,,X,,,,,,,,,,,
either,,,,,,,,,,,,X,,,,,,X
ignorance,,,,,,,,,,,,,,,,,,
on,,,,,,,,,,,,,,,,,,
purpose,,,,,,,,,,,,X,,X,,,,
acknowledge,,,,,,,,,,,,X,X,,,,,
let,,,,,,,,,,,,,,,,,,
alone,X,,X,,,X,,,,,,,,,,,,
apologize,,,,,,,X,,,,,,,,,,,
doing,,,,,,,,,,,,,,,,,,
might,,,,,,,,,,,,X,,,,X,,
force,,,,,,,,,,,,X,,X,,,,
them,,,,,,,X,,,,,,,,,,,
admit,,,,,,,X,,,,,X,X,,,,,
actions,,,,,,,,,,,,,,,,,,
although,,,,,,,,,,,,X,,,,,,X
usually,,,,,,,,,,,,X,,,,X,,
find,,,,,,,,,,,,X,X,,,,,
somewhat,,,,,,,,,,,,X,,,,X,,
beyond,,,,,,,,,,,,,,,,,,
my,,,,,,,,,,,,,,,,,,
conscious,,,,,,,,,,,,X,X,,,,,
control,,,,,,,,,,,,X,,X,,,,
grudges,X,,X,,X,,X,,,,,,,,,,,
beneficial,X,X,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,X,,,,X,,
circumstances,,,,,,,,,,,,,,,,,,
gone,,,,,,,,,,,,,,,,,,
through,,,,,,,,,,,,,,,,,,
great,X,X,,,,,,,,,,,,,,,,
trauma,X,,X,,,,,,,,,,,,,,,
hands,,,,,,,,,,,,,,,,,,
another,,,,,,,,,,,,,,,,,,
seems,,,,,,,,,,,,X,X,,,X,,
reasonable,,,,,,,,,,,,X,X,X,,,,
believe,,,,,,,,,,,,X,X,,,,,
by,,,,,,,,,,,,,,,,,,
friend,,,,,,,X,,X,,,,,,,,,
cheated,X,,X,,X,,,,,,,,,,,,,
wrong,X,,X,,,,,,,,,,,,,,,
such,,,,,,,,,,,,,,,,,,
got,,,,,,,,,,,,,,,,,,
fired,X,,X,,,,,,,,,,,,,,,
from,,,,,,,,,,,,,,,,,,
job,,,,,,,,,,,,,,,,,,
lie,,,,,,,,,,,,,,,,,,
assuming,,,,,,,,,,,,X,X,,,X,,
doesn't,,,,,,,,,,,,,,,,,,
too,,,,,,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,
you've,,,,,,,X,,,,,,,,,,,
severely,X,,X,,,,,,,,,,,,,,,
who,,,,,,,X,,,,,,,,,,,
strong,X,X,,,,,,,,,,,,,,,,
relationship,,,,,,,X,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
stakes,,,,,,,,,,,,,,,,,,
high,,,,,,,,,,,,,,,,,,
significant,,,,,,,,,,,,,,,,,,
after,,,,,,,,,,,,,,,,,,
together,,,,,,,X,,,,,,,,,,,
none,,,,,,,,,,,,,,,,,,
this,,,,,,,,,,,,,,,,,,
healthy,X,X,,,,,,,,,,,,,,,,
