Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
friend,,,,,,,X,,X,,,,,,,,,
accidentally,,,,,,,,,,,,,,,,,,
hurts,X,,X,,,X,,,,,,,,,,,,
feelings,,,,,,,,,,,,X,X,,,,,
na,,,,,,,,,,,,,,,,,,
you,,,,,,,X,,,,,,,,,,,
shouldn't,,,,,,,,,,,,X,,,X,,,
hold,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,
grudge,X,,X,,X,,X,,,,,,,,,,,
over,,,,,,,,,,,,,,,,,,
something,,,,,,,,,,,,X,,,,X,,
petty,X,,X,,X,,,,,,,,,,,,,
like,,,,,,,,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
getting,,,,,,,,,,,,,,,,,,
back,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
were,,,,,,,,,,,,,,,,,,
promised,X,X,,,,,,,,,,X,,,,,X,
if,,,,,,,,,,,,X,,,X,X,,X
someone,,,,,,,X,,,,,X,,,,X,,
acknowleges,,,,,,,,,,,,,,,,,,
this,,,,,,,,,,,,,,,,,,
mistakes,X,,X,,,,,,,,,X,,,X,,,
and,,,,,,,,,,,,,,,,,,
sincerely,X,X,,,,,,,,,,,,,,,,
apologies,,,,,,,X,,,,,,,,,,,
has,,,,,,,,,,,,,,,,,,
beaten,X,,X,,X,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,,,
fair,X,X,,,,,,,,,,,,,,,,
competition,,,,,,,,,,,,,,,,,,
or,,,,,,,,,,,,X,,,,X,,X
due,,,,,,,,,,,,,,,,,,
to,,,,,,,,,,,,,,,,,,
chance,,,,,,,,,,,,X,,,,X,,
circumstance,,,,,,,,,,,,,,,,,,
where,,,,,,,,,,,,,,,,,,
it,,,,,,,,,,,,,,,,,,
is,,,,,,,,,,,,,,,,,,
wrong,X,,X,,,,,,,,,,,,,,,
one,,,,,,,,,,,,,,,,,,
an,,,,,,,,,,,,,,,,,,
act,,,,,,,,,,,,,,,,,,
was,,,,,,,,,,,,,,,,,,
unintentional,,,,,,,,,,,,,,,,,,
done,,,,,,,,,,,,,,,,,,
out,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,
malice,,,,,,,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,
committed,,,,,,,,,,,,X,,,,,X,
by,,,,,,,,,,,,,,,,,,
who,,,,,,,X,,,,,,,,,,,
does,,,,,,,,,,,,,,,,,,
have,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
mental,,,,,,,,,,,,,,,,,,
faculties,,,,,,,,,,,,,,,,,,
be,,,,,,,,,,,,,,,,,,
deemed,,,,,,,,,,,,,,,,,,
socially,,,,,,,X,,,,,,,,,,,
responsible,,,,,,,,,,,,,,,,,,
unfair,X,,X,,,,,,,,,,,,,,,
incorrect,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,
think,,,,,,,,,,,,X,X,,,,,
against,,,,,,,,,,,,X,,,,,,X
for,,,,,,,,,,,,,,,,,,
they,,,,,,,X,,,,,,,,,,,
didn't,,,,,,,,,,,,X,,,,,,X
do,,,,,,,,,,,,,,,,,,
that's,,,,,,,,,,,,,,,,,,
so,,,,,,,,,,,,,,,,,,
great,X,X,,,,,,,,,,,,,,,,
did,,,,,,,,,,,,,,,,,,
that,,,,,,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
me,,,,,,,,,,,,,,,,,,
but,,,,,,,,,,,,X,,,,,,X
ultimately,,,,,,,,,,,,,,,,,,
my,,,,,,,,,,,,,,,,,,
best,X,X,,,,,,,,,,,,,,,,
interest,X,X,,,,,,,,,,,,,,,,
would,,,,,,,,,,,,X,,,X,,,
person,,,,,,,X,,,,,,,,,,,
genuinely,,,,,,,,,,,,X,X,,,,,
remorseful,X,,X,,,X,,,,,,,,,,,,
actively,X,X,,,,,,,,,,,,,,,,
working,,,,,,,,,,,,,,,,,,
better,X,X,,,,,,,,,,,,,,,,
future,,,,,,,,,,,,,,,,,,
when,,,,,,,,,,,,,,,,,,
wronged,X,,X,,,,,,,,,,,,,,,
accidental,,,,,,,,,,,,,,,,,,
mistake,X,,X,,,,,,,,,X,,,X,,,
off,,,,,,,,,,,,,,,,,,
unlikely,,,,,,,,,,,,X,,,,X,,
