Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
insult,X,,X,,X,,X,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
they,,,,,,,X,,,,,,,,,,,
have,,,,,,,,,,,,,,,,,,
emotional,X,,X,,,,,,,,,,,,,,,
imbalances,,,,,,,,,,,,,,,,,,
that,,,,,,,,,,,,,,,,,,
need,,,,,,,,,,,,X,,,X,,,
to,,,,,,,,,,,,,,,,,,
learn,,,,,,,,,,,,X,X,,,,,
control,,,,,,,,,,,,X,,X,,,,
feel,,,,,,,,,,,,X,X,,,,,
very,,,,,,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
and,,,,,,,,,,,,,,,,,,
are,,,,,,,,,,,,,,,,,,
unable,,,,,,,,,,,,,,,,,,
let,,,,,,,,,,,,,,,,,,
go,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
pain,X,,X,,,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,,,
order,,,,,,,,,,,,,,,,,,
grudge,X,,X,,X,,X,,,,,,,,,,,
cannot,,,,,,,,,,,,X,,,,,,X
for,,,,,,,,,,,,,,,,,,
whatever,,,,,,,,,,,,,,,,,,
reason,,,,,,,,,,,,X,X,X,,,,
express,,,,,,,X,,,,,,,,,,,
their,,,,,,,X,,,,,,,,,,,
anger,X,,X,,X,,,,,,,,,,,,,
immediately,,,,,,,,,,,,,,,,,,
or,,,,,,,,,,,,X,,,,X,,X
it,,,,,,,,,,,,,,,,,,
as,,,,,,,,,,,,,,,,,,
an,,,,,,,,,,,,,,,,,,
alternative,,,,,,,,,,,,X,,,,,,X
people,,,,,,,X,,,,,,,,,,,
hold,,,,,,,,,,,,,,,,,,
grudges,X,,X,,X,,X,,,,,,,,,,,
because,,,,,,,,,,,,X,,X,,,,
humans,,,,,,,X,,,,,,,,,,,
sensitive,,,,,,,,,,,,,,,,,,
egos,,,,,,,,,,,,,,,,,,
easy,X,X,,,,,,,,,,,,,,,,
wound,,,,,,,,,,,,,,,,,,
tend,,,,,,,,,,,,,,,,,,
be,,,,,,,,,,,,,,,,,,
prideful,,,,,,,,,,,,,,,,,,
stubborn,X,,X,,X,,,,,,,,,,,,,
leads,,,,,,,,,,,,X,,X,,,,
holding,,,,,,,,,,,,,,,,,,
is,,,,,,,,,,,,,,,,,,
far,,,,,,,,,,,,,,,,,,
easier,X,X,,,,,,,,,,,,,,,,
place,,,,,,,,,,,,,,,,,,
blame,X,,X,,X,,X,,,,,,,,,,,
solely,,,,,,,,,,,,,,,,,,
on,,,,,,,,,,,,,,,,,,
shoulders,,,,,,,,,,,,,,,,,,
person,,,,,,,X,,,,,,,,,,,
who,,,,,,,X,,,,,,,,,,,
isn't,,,,,,,,,,,,X,,,,,,X
you,,,,,,,X,,,,,,,,,,,
but,,,,,,,,,,,,X,,,,,,X
many,,,,,,,,,,,,,,,,,,
issues,,,,,,,,,,,,,,,,,,
two,,,,,,,,,,,,,,,,,,
sided,,,,,,,,,,,,,,,,,,
can,,,,,,,,,,,,,,,,,,
seen,,,,,,,,,,,,,,,,,,
from,,,,,,,,,,,,,,,,,,
several,,,,,,,,,,,,,,,,,,
perspectives,,,,,,,,,,,,,,,,,,
however,,,,,,,,,,,,X,,,,,,X
held,,,,,,,,,,,,,,,,,,
understandably,,,,,,,,,,,,X,X,,,,,
when,,,,,,,,,,,,,,,,,,
someone,,,,,,,X,,,,,X,,,,X,,
intentionally,,,,,,,,,,,,X,,X,,,,
commits,,,,,,,,,,,,X,,,,,X,
a,,,,,,,,,,,,,,,,,,
crime,,,,,,,,,,,,,,,,,,
act,,,,,,,,,,,,,,,,,,
deliberately,,,,,,,,,,,,,,,,,,
cause,,,,,,,,,,,,X,,X,,,,
irreversible,,,,,,,,,,,,,,,,,,
harm,X,,X,,,,,,,,,,,,,,,
else,,,,,,,,,,,,X,,,,,,X
them,,,,,,,X,,,,,,,,,,,
we,,,,,,,X,,,,,,,,,,,
can't,,,,,,,,,,,,X,,,,,,X
felt,,,,,,,,,,,,X,X,,,,,
by,,,,,,,,,,,,,,,,,,
someone's,,,,,,,X,,,,,X,,,,X,,
actions,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,
think,,,,,,,,,,,,X,X,,,,,
typically,,,,,,,,,,,,X,,,,X,,
after,,,,,,,,,,,,,,,,,,
being,,,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
experiencing,,,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,X,,,,X,,
perceived,,,,,,,,,,,,X,X,,,,,
betrayal,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,X,,,,,,X
doesn't,,,,,,,,,,,,,,,,,,
apologize,,,,,,,X,,,,,,,,,,,
refuses,,,,,,,X,,,,,,,,,,,
see,,,,,,,,,,,,,,,,,,
how,,,,,,,,,,,,X,,X,,,,
could,,,,,,,,,,,,X,,,X,,,
upset,X,,X,X,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
something,,,,,,,,,,,,X,,,,X,,
did,,,,,,,,,,,,,,,,,,
generally,,,,,,,,,,,,X,,,,X,,
feels,,,,,,,,,,,,X,X,,,,,
wronged,X,,X,,,,,,,,,,,,,,,
another,,,,,,,,,,,,,,,,,,
unwilling,,,,,,,,,,,,,,,,,,
either,,,,,,,,,,,,X,,,,,,X
forgive,X,X,,,,,X,,,,,X,X,,,,,
accept,X,X,,,,,,,,,,X,X,,,,,
wrongdoing,X,,X,,,,,,,,,,,,,,,
move,,,,,,,,,,,,,,,,,,
often,,,,,,,,,,,,X,,,,X,,
unintentionally,,,,,,,,,,,,,,,,,,
may,,,,,,,,,,,,X,,,,X,,
against,,,,,,,,,,,,X,,,,,,X
wrong,X,,X,,,,,,,,,,,,,,,
past,,,,,,,,,,,,,,,,,,
example,,,,,,,,,,,,,,,,,,
boss,,,,,,,,,,,,,,,,,,
fired,X,,X,,,,,,,,,,,,,,,
job,,,,,,,,,,,,,,,,,,
does,,,,,,,,,,,,,,,,,,
do not like,X,X,,,,,,,,,,,,,,,,
do not,,,,,,,,,,,,,,,,,,
fond,X,X,,,,,,,,,,,,,,,,
wounded,,,,,,,,,,,,,,,,,,
want,,,,,,,,,,,,X,,,X,,,
project,,,,,,,,,,,,,,,,,,
others,,,,,,,,,,,,X,,,,,,X
has,,,,,,,,,,,,,,,,,,
done,,,,,,,,,,,,,,,,,,
bad,X,,X,,,,,,,,,,,,,,,
make,,,,,,,,,,,,X,,X,,,,
consequences,,,,,,,,,,,,X,,X,,,,
slights,,,,,,,,,,,,,,,,,,
purpose,,,,,,,,,,,,X,,X,,,,
accident,,,,,,,,,,,,,,,,,,
live,,,,,,,,,,,,,,,,,,
up,,,,,,,,,,,,,,,,,,
mistake,X,,X,,,,,,,,,X,,,X,,,
says,,,,,,,X,,,,,,,,,,,
rude,X,,X,,X,,,,,,,,,,,,,
horrible,X,,X,X,,,,,,,,,,,,,,
what,,,,,,,,,,,,,,,,,,
only,,,,,,,,,,,,,,,,,,
speak,,,,,,,X,,,,,,,,,,,
my,,,,,,,,,,,,,,,,,,
experience,,,,,,,,,,,,,,,,,,
me,,,,,,,,,,,,,,,,,,
care,X,X,,,,,,,,,,,,,,,,
about,,,,,,,,,,,,,,,,,,
emotionally,,,,,,,,,,,,,,,,,,
physically,,,,,,,,,,,,,,,,,,
refused,,,,,,,X,,,,,,,,,,,
acknowledge,,,,,,,,,,,,X,X,,,,,
caused,,,,,,,,,,,,X,,X,,,,
loved,X,X,,,,,X,,,,,,,,,,,
one's,,,,,,,,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
validated,,,,,,,,,,,,,,,,,,
usually,,,,,,,,,,,,X,,,,X,,
likely,,,,,,,,,,,,X,,,,X,,
continues,,,,,,,,,,,,,,,,,,
affect,,,,,,,,,,,,X,,X,,,,
way,,,,,,,,,,,,,,,,,,
taken,,,,,,,,,,,,,,,,,,
affected,,,,,,,,,,,,X,,X,,,,
negatively,,,,,,,,,,,,,,,,,,
would,,,,,,,,,,,,X,,,X,,,
such,,,,,,,,,,,,,,,,,,
feelings,,,,,,,,,,,,X,X,,,,,
got,,,,,,,,,,,,,,,,,,
like,,,,,,,,,,,,,,,,,,
get,,,,,,,,,,,,,,,,,,
last,,,,,,,,,,,,,,,,,,
word,,,,,,,,,,,,,,,,,,
so,,,,,,,,,,,,,,,,,,
things,,,,,,,,,,,,,,,,,,
should,,,,,,,,,,,,X,,,X,,,
balanced,,,,,,,,,,,,,,,,,,
were,,,,,,,,,,,,,,,,,,
won't,,,,,,,,,,,,,,,,,,
until,,,,,,,,,,,,,,,,,,
equalized,,,,,,,,,,,,,,,,,,
fear,X,,X,X,,,,,,,,,,,,,,
won,X,X,,,,,,,,,,,,,,,,
over,,,,,,,,,,,,,,,,,,
disrespectful,,,,,,,,,,,,,,,,,,
offenses,X,,X,,X,,,,,,,,,,,,,
ultimately,,,,,,,,,,,,,,,,,,
stems,,,,,,,,,,,,,,,,,,
feeling,,,,,,,,,,,,X,X,,,,,
having,,,,,,,,,,,,,,,,,,
your,,,,,,,X,,,,,,,,,,,
self,,,,,,,X,,,,,,,,,,,
worth,,,,,,,,,,,,,,,,,,
belittled,,,,,,,,,,,,,,,,,,
great,X,X,,,,,,,,,,,,,,,,
offense,X,,X,,X,,,,,,,,,,,,,
occurred,,,,,,,,,,,,,,,,,,
sort,,,,,,,,,,,,X,,,,X,,
personal,X,,,,,,X,,,,,,,,,,,
injury,,,,,,,,,,,,,,,,,,
been,,,,,,,,,,,,,,,,,,
unfairly,,,,,,,,,,,,,,,,,,
treated,,,,,,,,,,,,,,,,,,
it's,,,,,,,,,,,,,,,,,,
