Word,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,
desc,,,,,,,,,,,,,,,,,,
emtn,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
jealousy,X,,X,,X,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,
aggressive,X,,X,,X,,,,,,,,,,,,,
hurt,X,,X,,,X,,,,,,,,,,,,
resentment,X,,X,,X,,,,,,,,,,,,,
unresolved,,,,,,,,,,,,X,,,,X,,
vindictive,,,,,,,,,,,,,,,,,,
loudness,,,,,,,,,,,,,,,,,,
bitter,X,,X,,X,,,,,,,,,,,,,
mistrust,,,,,,,,,,,,,,,,,,
hate,X,,X,,X,,,,,,,,,,,,,
cold,,,,,,,,,,,,,,,,,,
tension,X,,X,X,,,,,,,,,,,,,,
disgust,X,,X,,,,,,,,,,,,,,,
insecurity,X,,X,X,,,,,,,,,,,,,,
anxiety,X,,X,X,,,,,,,,,,,,,,
spite,X,,X,,X,,,,,,,,,,,,,
frustration,X,,X,,X,,,,,,,,,,,,,
rage,X,,X,,X,,,,,,,,,,,,,
disbelief,,,,,,,,,,,,,,,,,,
unappreciated,,,,,,,,,,,,,,,,,,
disrespect,,,,,,,,,,,,,,,,,,
disappointment,X,,X,,,X,,,,,,,,,,,,
mean,,,,,,,,,,,,X,X,,,,,
shame,X,,X,X,,,,,,,,,,,,,,
reluctaunt,,,,,,,,,,,,,,,,,,
pissed,X,,X,,X,,,,,,,,,,,,,
desire,X,X,,,,,,,,,,X,,,X,,,
lethargic,,,,,,,,,,,,,,,,,,
hopelessness,X,,X,,,X,,,,,,,,,,,,
disdain,,,,,,,,,,,,,,,,,,
fatigue,X,,X,,,X,,,,,,,,,,,,
sad,X,,X,,,X,,,,,,,,,,,,
confusion,,,,,,,,,,,,X,,,,X,,
regret,X,,X,,,X,,,,,,X,,,X,,,
annoyance,,,,,,,,,,,,,,,,,,
dementia,,,,,,,,,,,,,,,,,,
distrust,X,,X,,X,,,,,,,,,,,,,
disgusted,X,,X,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,
unhappiness,X,,X,,,X,,,,,,,,,,,,
grief,X,,X,,,X,,,,,,,,,,,,
anger,X,,X,,X,,,,,,,,,,,,,
loss,X,,X,,,X,,,,,,,,,,,,
smoldering,,,,,,,,,,,,,,,,,,
displeasure,,,,,,,,,,,,,,,,,,
fear,X,,X,X,,,,,,,,,,,,,,
guilt,X,,X,X,,,,,,,,,,,,,,
hatred,X,,X,,X,,,,,,,,,,,,,
furious,X,,X,,X,,,,,,,,,,,,,
disaponntied,,,,,,,,,,,,,,,,,,
resentful,X,,X,,X,,,,,,,,,,,,,
despair,X,,X,,,X,,,,,,,,,,,,
sadness,X,,X,,,X,,,,,,,,,,,,
depressed,X,,X,,,X,,,,,,,,,,,,
vengeful,,,,,,,,,,,,,,,,,,
bitterness,X,,X,,X,,,,,,,,,,,,,
blame,X,,X,,X,,X,,,,,,,,,,,
heated,,,,,,,,,,,,,,,,,,
fury,X,,X,,X,,,,,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,
offended,X,,X,,X,,,,,,,,,,,,,
unease,X,,X,X,,,,,,,,,,,,,,
irritation,X,,X,X,,,,,,,,,,,,,,
stubbornness,X,,X,,X,,,,,,,,,,,,,
regretful,X,,X,,,X,,,,,,X,,,X,,,
crying,X,,X,,,X,,,,,,,,,,,,
pessimism,X,,X,,,X,,,,,,,,,,,,
pride,X,X,,,,,,,,,,,,,,,,
revenge,X,,X,,X,,,,,,,,,,,,,
mad,X,,X,,X,,,,,,,,,,,,,
stubborn,X,,X,,X,,,,,,,,,,,,,
upset,X,,X,X,,,,,,,,,,,,,,
stressed,X,,X,X,,,,,,,,,,,,,,
worried,X,,X,X,,,,,,,,,,,,,,
attacked,X,,X,,X,,,,,,,,,,,,,
jealous,X,,X,,X,,,,,,,,,,,,,
condescension,,,,,,,,,,,,,,,,,,
guilty,X,,X,X,,,,,,,,,,,,,,
satisfaction,X,X,,,,,,,,,,,,,,,,
isolated,X,,X,,,X,,,,,,,,,,,,
lonely,X,,X,,,X,,,,,,,,,,,,
self,,,,,,,X,,,,,,,,,,,
righteousness,,,,,,,,,,,,,,,,,,
exhaustion,X,,X,,,,,,,,,,,,,,,
excited,X,X,,,,,,,,,,,,,,,,
disaproval,,,,,,,,,,,,,,,,,,
frustrated,X,,X,,X,,,,,,,,,,,,,
annoyed,X,,X,,X,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,,,
control,,,,,,,,,,,,X,,X,,,,
pain,X,,X,,,,,,,,,,,,,,,
not,,,,,,,,,,,,X,,,,,,X
happy,X,X,,,,,,,,,,,,,,,,
blunt,,,,,,,,,,,,,,,,,,
arguementative,X,,X,,X,,X,,,,,,,,,,,
malice,,,,,,,,,,,,,,,,,,
refusal,,,,,,,X,,,,,,,,,,,
unwelcoming,X,,X,,,,,,,,,,,,,,,
hysteria,,,,,,,,,,,,,,,,,,
shock,X,,X,,,,,,,,,,,,,,,
crude,X,,X,,,,,,,,,,,,,,,
lust,,,,,,,,,,,,,,,,,,
i,,,,,,,,,,,,,,,,,,
don't,,,,,,,,,,,,,,,,,,
know,,,,,,,,,,,,X,X,,,,,
stubborness,X,,X,,X,,,,,,,,,,,,,
unforgiving,,,,,,,,,,,,,,,,,,
angst,,,,,,,,,,,,,,,,,,
empty,X,,X,,,X,,,,,,,,,,,,
agitation,X,,X,,X,,,,,,,,,,,,,
responsibility,,,,,,,,,,,,,,,,,,
disapointment,,,,,,,,,,,,,,,,,,
provocation,,,,,,,,,,,,,,,,,,
dread,X,,X,X,,,,,,,,,,,,,,
selfish,X,,X,,,,,,,,,,,,,,,
angry,X,,X,,X,,,,,,,,,,,,,
ticked,,,,,,,,,,,,,,,,,,
anguish,X,,X,,,,,,,,,,,,,,,
sorrow,X,,X,,,X,,,,,,,,,,,,
livid,,,,,,,,,,,,,,,,,,
judged,,,,,,,,,,,,,,,,,,
cancel,,,,,,,,,,,,,,,,,,
plans,,,,,,,,,,,,,,,,,,
at,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,
last,,,,,,,,,,,,,,,,,,
minute,,,,,,,,,,,,,,,,,,
embarrassed,X,,X,X,,,X,,,,,,,,,,,
richeousness,,,,,,,,,,,,,,,,,,
cautious,,,,,,,,,,,,,,,,,,
scorn,,,,,,,,,,,,,,,,,,
indifference,,,,,,,,,,,,,,,,,,
superiority,X,,,,,,,,,,,,,,,,,
despise,X,,X,,X,,,,,,,,,,,,,
disillusionment,X,,X,,,X,,,,,,X,X,,,,,
disaccord,,,,,,,,,,,,,,,,,,
power,,,,,,,,,,,,,,,,,,
envy,X,,X,,X,,,,,,,,,,,,,
destructive,X,,X,,X,,,,,,,,,,,,,
hurtful,X,,X,,,X,,,,,,,,,,,,
embarrassment,X,,X,X,,,X,,,,,,,,,,,
depression,X,,X,,,X,,,,,,,,,,,,
sanctimonious,,,,,,,,,,,,,,,,,,
vibrating,,,,,,,,,,,,,,,,,,
some,,,,,,,,,,,,X,,,,X,,
form,,,,,,,,,,,,,,,,,,
mannerisms,,,,,,,,,,,,,,,,,,
e,,,,,,,,,,,,,,,,,,
hissing,,,,,,,,,,,,,,,,,,
or,,,,,,,,,,,,X,,,,X,,X
eyeing,,,,,,,,,,,,,,,,,,
themselves,,,,,,,X,,,,,,,,,,,
distress,X,,X,X,,,,,,,,,,,,,,
unforgiveable,,,,,,,,,,,,,,,,,,
unsettled,X,,X,X,,,,,,,,X,,,,X,,
tired,,,,,,,,,,,,,,,,,,
rancour,,,,,,,,,,,,,,,,,,
rancor,,,,,,,,,,,,,,,,,,
when,,,,,,,,,,,,,,,,,,
fell,,,,,,,,,,,,,,,,,,
odds,,,,,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
my,,,,,,,,,,,,,,,,,,
spiritual,,,,,,,,,,,,,,,,,,
beliefs,,,,,,,,,,,,X,X,,,,,
lost,X,,X,,,X,,,,,,,,,,,,
irate,,,,,,,,,,,,,,,,,,
relief,X,X,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,
just,,,,,,,,,,,,,,,,,,
negativity,,,,,,,,,,,,,,,,,,
injustice,,,,,,,,,,,,,,,,,,
discomfort,X,,X,X,,,,,,,,,,,,,,
helpless,X,,X,,,X,,,,,,,,,,,,
arrogant,X,,X,,,,,,,,,,,,,,,
feel,,,,,,,,,,,,X,X,,,,,
nothing,,,,,,,,,,,,X,,,,,X,
down,,,,,,,,,,,,,,,,,,
irritable,X,,X,X,,,,,,,,,,,,,,
irritability,X,,X,X,,,,,,,,,,,,,,
agitated,X,,X,,X,,,,,,,,,,,,,
anxious,X,,X,X,,,,,,,,,,,,,,
arrogance,X,,X,,,,,,,,,,,,,,,
disappointed,X,,X,,,X,,,,,,,,,,,,
smugness,X,,X,,,,,,,,,,,,,,,
confused,X,,X,X,,,,,,,,X,,,,X,,
wronged,X,,X,,,,,,,,,,,,,,,
inadequete,,,,,,,,,,,,,,,,,,
uncertain,X,,X,X,,,,,,,,X,,,,X,,
mindless,,,,,,,,,,,,,,,,,,
