Word,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,cogproc,percept,see,hear,feel,drives,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,informal
desc,,,,,,,,,,,,,,,,,,,,,,,,,,,
emtn,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,X,,,,,,,,,,,,,,,,,,,,,,
ennui,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,,,,,,,,,,
stressed,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
disgust,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
insecurity,,,,,,,X,,X,X,,,,,,,,,X,X,,,,,,,
rejected,,,,,,,X,,X,,,X,,,,,,,X,X,,,,,,,
having,X,,,,,,,,,,,,,,,,,,,,,,,,,,
been,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
wronged,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
furious,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
frustration,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
sadness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
anger,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
anticipation,,,,,,,,,,,,,,,,,,,,,,,,,X,,
wounded,,,,,,,,,,,,,,,,,,,,,,,,,,,
spite,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
hate,X,,,,,,X,,X,,X,,,,,,,,,,,,,X,,,
depression,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
vindiction,,,,,,,,,,,,,,,,,,,,,,,,,,,
sad,,X,,,,,X,,X,,,X,,,,,,,,,,,,,,,
confusion,,,,,,,,,,,,,,X,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,,,,,,,,,,
sorrow,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
upset,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
jealousy,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
passive,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
resentment,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
regret,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,
envy,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
indignation,,,,,,,,,,,,,,,,,,,,,,,,,,,
pride,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,
pettiness,,,,,,,,,,,,,,,,,,,,,,,,,,,
despair,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
umbrage,,,,,,,,,,,,,,,,,,,,,,,,,,,
distress,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
angry,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
rage,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
hurt,,,,,,,X,,X,,,X,,,X,,,X,,,,,,,,,
melancholy,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
untrusting,,,,,,,,,,,,,,,,,,,,,,,,,,,
disrespected,,,,,,,,,,,,,,,,,,,,,,,,,,,
loathing,,,,,,,,,,,,,,,,,,,,,,,,,,,
guilt,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
embarrassed,,,,,,,X,,X,X,,,X,,,,,,,,,,,,,,
fear,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
hostility,,,,,,,X,,X,,X,,X,,,,,,,,,,,,,,
jealous,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
annoyed,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
malice,,,,,,,,,,,,,,,,,,,,,,,,,,,
vengeful,,,,,,,,,,,,,,,,,,,,,,,,,,,
anxiety,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
bitterness,,,,,,,X,,X,,X,,,,X,,,,,,,,,,,,
disappointment,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
self,,,,,,,,,,,,,X,,,,,,,,,,,,,,
righteous,,,,,,,,,,,,,,,,,,,,,,,,,,,
fury,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
slighted,,,,,,,,,,,,,,,,,,,,,,,,,,,
unfairness,,,,,,,,,,,,,,,,,,,,,,,,,,,
tired,,X,,,,,,,,,,,,,,,,,,,,,,,,,
angst,,,,,,,,,,,,,,,,,,,,,,,,,,,
grief,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
surprise,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
glee,,,,,,,,,,,,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
disgruntled,,,,,,,,,,,,,,,,,,,,,,,,,,,
madness,,,,,,,,,,,,,,,,,,,,,,,,,,,
misunderstood,,,,,,,,,,,,,,X,,,,,,,,,,,,,
superiority,,,,,,,X,,,,,,,,,,,,X,X,,,,,,,
resenment,,,,,,,,,,,,,,,,,,,,,,,,,,,
mistrust,,,,,,,,,,,,,,,,,,,,,,,,,,,
control,,,,,,,,,,,,,,X,,,,,X,X,,,,,,,
embarrasment,,,,,,,,,,,,,,,,,,,,,,,,,,,
confused,,,,,,,X,,X,X,,,,X,,,,,,,,,,,,,
heartbreak,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
frustrated,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
satisfaction,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
embarassment,,,,,,,,,,,,,,,,,,,,,,,,,,,
irritated,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
dissapointment,,,,,,,,,,,,,,,,,,,,,,,,,,,
lost,X,,,,,,X,,X,,,X,,,,,,,X,,,,X,,,,
hatred,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
stubborn,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
stubbornness,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
beaten,,,,,,,X,,X,,X,,,,,,,,X,X,,,,,,,
loneliness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
incredulity,,,,,,,,,,,,,,,,,,,,,,,,,,,
outraged,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
rightousness,,,,,,,,,,,,,,,,,,,,,,,,,,,
embarrassment,,,,,,,X,,X,X,,,X,,,,,,,,,,,,,,
negative,,,,,,,,,,,,,,,,,,,,,,,,,,,
vibes,,,,,,,,,,,,,,,,,,,,,,,,,,,
exhaustion,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
revengeful,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
overwhelm,,,,,,,X,,X,X,,X,,,,,,,,,,,,,,,
lewd,,,,,,,,,,,,,,,,,,,,,,,,,,,
want,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,
i,,,,,,,,,,,,,,,,,,,,,,,,,,,
don't,X,,,,,,,,,,,,,,,,,,,,,,,X,,,
know,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,
disappointed,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
avoidance,,,,,,,X,,X,X,,,,,,,,,X,,,X,,,,,
bitter,,X,,,,,X,,X,,X,,,,X,,,,,,,,,,,,
pain,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,,
revenge,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
vengefulness,,,,,,,,,,,,,,,,,,,,,,,,,,,
resent,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
mad,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
bother,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
stress,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
scared,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
unsatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,
forgiveness,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,
embarassed,,,,,,,,,,,,,,,,,,,,,,,,,,,
irritability,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
paranoia,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
still,,,,,,,,,,,,,,,,,,,,,,,,,,X,
feel,X,,,,,,,,,,,,,X,X,,,X,,,,,,X,,,
vulgure,,,,,,,,,,,,,,,,,,,,,,,,,,,
disdain,,,,,,,,,,,,,,,,,,,,,,,,,,,
unhappiness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
irritation,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
distraught,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,,,,,,,,,,
vehemence,,,,,,,,,,,,,,,,,,,,,,,,,,,
remorse,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
feelings,,,,,,,,,,,,,,X,X,,,X,,,,,,,,,
malicious,,,,,,,,,,,,,,,,,,,,,,,,,,,
contempt,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
vindictive,,,,,,,,,,,,,,,,,,,,,,,,,,,
act,,,,,,,,,,,,,,,,,,,,,,,,,,,
of,,,,,,,,,,,,,,,,,,,,,,,,,,,
dislike,X,,,,,,X,,X,,,,,,,,,,,,,,,X,,,
some,,,,,,X,,,,,,,,X,,,,,,,,,,,,,
judged,,,,,,,,,,,,,,,,,,,X,X,,,,,,,
when,,,,X,,,,,,,,,,,,,,,,,,,,,,X,
they,,,,,,,,,,,,,X,,,,,,,,,,,,,,
happen,X,,,,,,,,,,,,,,,,,,,,,,,X,,,
to,,,,,,,,,,,,,,,,,,,,,,,,,,,
come,X,,,,,,,,,,,,,,,,,,,,,,,X,,X,
in,,,,,,,,,,,,,,,,,,,,,,,,,,X,
contact,,,,,,,,,,,,,X,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,,,,,,,,,,
the,,,,,,,,,,,,,,,,,,,,,,,,,,,
other,,,,,,,,,,,,,,X,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,
feeling,X,,,,,,,,,,,,,X,X,,,X,,,,,,,,,
deep,,X,,,,,,,,,,,,,,,,,,,,,,,,X,
fell,X,,,,,,,,,,,,,,,,,,,,,,X,,,X,
depressed,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
or,,,,,,,,,,,,,,X,,,,,,,,,,,,,
anxious,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
doubtful,,,,,,,X,,X,X,,,,X,,,,,X,,,X,,,,,
apprehension,,,,,,,X,,X,X,,,,X,,,,,X,,,X,,,,,
resolute,,,,,,,,,,,,,,X,,,,,,,,,,,,,
blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,
