Word,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,cogproc,percept,see,hear,feel,drives,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,informal
desc,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrds,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,X,,,,,,,,,,,,,,,,,,,,,,
money,,,,,,,,,,,,,,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,,,,,,,,,,
painful,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,,
mistrust,,,,,,,,,,,,,,,,,,,,,,,,,,,
vengeance,,,,,,,,,,,,,,,,,,,,,,,,,,,
unforgiving,,,,,,,,,,,,,,,,,,,,,,,,,,,
pain,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,,
fury,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
resentment,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,,,,,,,,,,,,X,
resentful,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
unproductive,,,,,,,,,,,,,,,,,,,X,,,X,,,,,
conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,
angry,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
hurt,,,,,,,X,,X,,,X,,,X,,,X,,,,,,,,,
shocked,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
waste,,,,,,,,,,,,,,,,,,,,,,,,,,,
anger,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
one,,,,,X,,,,,,,,,,,,,,,,,,,,,,
sided,,,,,,,,,,,,,,,,,,,,,,,,,,,
enemy,,,,,,,X,,X,,X,,X,,,,,,,,,,,,,,
loathe,,,,,,,,,,,,,,,,,,,,,,,,,,,
mute,,,,,,,,,,,,,,,,,,,,,,,,,,,
injustice,,,,,,,,,,,,,,,,,,,,,,,,,,,
rude,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
unhealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,
deserved,,,,,,,,,,,,,,,,,,,,,,,,,,,
wronged,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
hesitancy,,,,,,,X,,X,X,,,,X,,,,,X,,,X,,,,,
stuck,X,,,,,,,,,,,,,,,,,,,,,,X,,,X,
bad,,,,,,,X,,X,,,,,,,,,,X,,,X,,,,,
passion,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
petty,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
self,,,,,,,,,,,,,X,,,,,,,,,,,,,,
worth,,,,,,,,,,,,,,,,,,,,,,,,,,,
deserve,,,,,,,,,,,,,,,,,,,,,,,,,,,
pettyness,,,,,,,,,,,,,,,,,,,,,,,,,,,
guilt,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
disappointed,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
childish,,,,,,,,,,,,,,,,,,,,,,,,,,,
distant,,,,,,,,,,,,,,,,,,,,,,,,,,X,
wrong,,X,,,,,X,,X,,,,,,,,,,X,,,X,,,,,
hardened,,,,,,,,,,,,,,,,,,,,,,,,,,,
heart,,,,,,,,,,,,,,,,,,,,,,,,,,,
forgiveness,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,
ineffective,,,,,,,X,,X,,,,,,,,,,X,,,,,,,,
bitterness,,,,,,,X,,X,,X,,,,X,,,,,,,,,,,,
obsession,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
wasteful,,,,,,,,,,,,,,,,,,,,,,,,,,,
emotions,,,,,,,X,,,,,,,,,,,,,,,,,,,,
revenge,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,,,,,,,,,,
ignore,X,,,,,,X,,X,,,,,,,,,,,,,,,X,,,
unjust,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatred,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
irrationality,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
wrongdoing,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
distance,,,,,,,,,,,,,,,,,,,,,,,,,,X,
obsessive,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
immature,,,,,,,,,,,,,,,,,,,,,,,,,,,
friends,,,,,,,,,,,,,X,,,,,,X,,,,,,,,
reprimanding,,,,,,,,,,,,,,,,,,,,,,,,,,,
wounded,,,,,,,,,,,,,,,,,,,,,,,,,,,
sad,,X,,,,,X,,X,,,X,,,,,,,,,,,,,,,
mad,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
suspicion,,,,,,,X,,X,X,,,,X,,,,,,,,,,,,,
sadness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
lonely,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
selfish,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
not,,,,,,,,,,,,,,X,,,,,,,,,,,,,
talking,X,,,,,,,,,,,,X,,,,,,,,,,,,,,
justified,,,,,,,,,,,,,,X,,,,,,,,,,,,,
