Word,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,cogproc,percept,see,hear,feel,drives,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,informal
desc,,,,,,,,,,,,,,,,,,,,,,,,,,,
emtn,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,X,,,,,,,,,,,,,,,,,,,,,,
anger,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
na,,,,,,,,,,,,,,,,,,,,,,,,,,,
unhinged,,,,,,,,,,,,,,,,,,,,,,,,,,,
sadness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
bitterness,,,,,,,X,,X,,X,,,,X,,,,,,,,,,,,
heartbroken,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
wanting,X,,,,,,,,,,,,,X,,,,,,,,,,,,,
to,,,,,,,,,,,,,,,,,,,,,,,,,,,
retaliate,,,,,,,,,,,,,,,,,,,,,,,,,,,
burdened,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
betrayal,,,,,,,,,,,,,,,,,,,,,,,,,,,
meaness,,,,,,,,,,,,,,,,,,,,,,,,,,,
resolute,,,,,,,,,,,,,,X,,,,,,,,,,,,,
disrespect,,,,,,,,,,,,,,,,,,,,,,,,,,,
petty,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
malicious,,,,,,,,,,,,,,,,,,,,,,,,,,,
upset,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
jealousy,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
hate,X,,,,,,X,,X,,X,,,,,,,,,,,,,X,,,
jealous,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
impatience,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
despair,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
disdain,,,,,,,,,,,,,,,,,,,,,,,,,,,
lonely,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
irritation,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
disappointment,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
regret,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,
unhappy,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
fear,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
hurt,,,,,,,X,,X,,,X,,,X,,,X,,,,,,,,,
mad,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
annoyance,,,,,,,,,,,,,,,,,,,,,,,,,,,
contempt,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
anxiety,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
shame,,,,,,,X,,X,X,,,,,,,,,X,X,,,,,,,
entitlement,,,,,,,,,,,,,,,,,,,,,,,,,,,
angry,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
aggression,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
disgust,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
disappointed,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
frustration,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
envy,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
self,,,,,,,,,,,,,X,,,,,,,,,,,,,,
righteous,,,,,,,,,,,,,,,,,,,,,,,,,,,
betrayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
hatred,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
wariness,,,,,,,,,,,,,,,,,,,,,,,,,,,
frusteration,,,,,,,,,,,,,,,,,,,,,,,,,,,
lowered,X,,,,,,X,,X,,,X,,,,,,,X,X,,,X,,,X,
esteem,,,,,,,,,,,,,,,,,,,,,,,,,,,
critisim,,,,,,,,,,,,,,,,,,,,,,,,,,,
animosity,,,,,,,,,,,,,,,,,,,,,,,,,,,
vengeful,,,,,,,,,,,,,,,,,,,,,,,,,,,
lost,X,,,,,,X,,X,,,X,,,,,,,X,,,,X,,,,
unsympathetic,,,,,,,,,,,,,,,,,,,,,,,,,,,
sad,,X,,,,,X,,X,,,X,,,,,,,,,,,,,,,
distrust,,,,,,,X,,X,,X,,,,,,,,X,,,X,,,,,
resentment,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
rage,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
bitter,,X,,,,,X,,X,,X,,,,X,,,,,,,,,,,,
outraged,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
deceit,,,,,,,,,,,,,,,,,,,,,,,,,,,
stressed,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
aggravation,,,,,,,X,,X,,X,,,X,,,,,,,,,,,,,
hateful,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
exhaustion,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
grief,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
confusion,,,,,,,,,,,,,,X,,,,,,,,,,,,,
resilience,,,,,,,,,,,,,,,,,,,,,,,,,,,
broken,,X,,,,,,,,,,,,,,,,,,,,,,,,,
vengence,,,,,,,,,,,,,,,,,,,,,,,,,,,
loneliness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
agitation,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
longing,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
annoyed,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
embarrassment,,,,,,,X,,X,X,,,X,,,,,,,,,,,,,,
distant,,,,,,,,,,,,,,,,,,,,,,,,,,X,
troubled,,,,,,,X,,X,,,,,,,,,,X,,,X,,,,,
pain,,,,,,,X,,X,,,,,,X,,,X,,,,,,,,,
scared,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
need,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,
for,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenge,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
loathing,,,,,,,,,,,,,,,,,,,,,,,,,,,
mistrust,,,,,,,,,,,,,,,,,,,,,,,,,,,
afraid,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
pride,,,,,,,X,X,,,,,,,,,,,X,,,,,,,,
vitriol,,,,,,,,,,,,,,,,,,,,,,,,,,,
stress,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
rejection,,,,,,,X,,X,,,X,,,,,,,X,X,,,,,,,
embarrassed,,,,,,,X,,X,X,,,X,,,,,,,,,,,,,,
empowered,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrath,,,,,,,,,,,,,,,,,,,,,,,,,,,
confused,,,,,,,X,,X,X,,,,X,,,,,,,,,,,,,
alone,,X,,,,,X,,X,,,X,,,,,,,,,,,,,,,
bias,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,
unhappiness,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
spite,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
stubbornness,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
vindiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,
spiteful,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
defensive,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,
dislike,X,,,,,,X,,X,,,,,,,,,,,,,,,X,,,
rude,,X,,,,,X,,X,,X,,,,,,,,,,,,,,,,
desire,,,,,,,X,X,,,,,,X,,,,,X,,X,,,,,,
i,,,,,,,,,,,,,,,,,,,,,,,,,,,
don't,X,,,,,,,,,,,,,,,,,,,,,,,X,,,
know,X,,,,,,,,,,,,,X,,,,,,,,,,X,,,
loss,,,,,,,X,,X,,,X,,,,,,,X,,,X,,,,,
of,,,,,,,,,,,,,,,,,,,,,,,,,,,
trust,,,,,,,X,X,,,,,X,,,,,,X,,,X,,X,,,
tired,,X,,,,,,,,,,,,,,,,,,,,,,,,,
irritatate,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
cheated,,,,,,,X,,X,,X,,,,,,,,X,,,,,,,,
guilt,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
molestation,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
malice,,,,,,,,,,,,,,,,,,,,,,,,,,,
frustrated,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
apology,,,,,,,,,,,,,X,,,,,,X,X,,,,,,,
attacked,,,,,,,X,,X,,X,,,,,,,,X,X,,,,,,,
intolerance,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,,,,,,,,,,,,,X,,,,,,X,,,,,,,,
feel,X,,,,,,,,,,,,,X,X,,,X,,,,,,X,,,
nothing,,,,,,,,,,,,,,X,,,,,,,,,,,,,
vulnerable,,,,,,,X,,X,X,,,,,,,,,X,X,,,,,,,
tense,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
stressfulness,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
revengeful,,,,,,,X,,X,,X,,,,,,,,,,,,,,,,
livid,,,,,,,,,,,,,,,,,,,,,,,,,,,
discauset,,,,,,,,,,,,,,,,,,,,,,,,,,,
irritated,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
joy,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
hostility,,,,,,,X,,X,,X,,X,,,,,,,,,,,,,,
unrest,,,,,,,,,,,,,,,,,,,,,,,,,,,
emotional,,X,,,,,X,,X,,,,,,,,,,,,,,,,,,
love,,,,,,,X,X,,,,,X,,,,,,X,,,,,,,,
ignorance,,,,,,,,,,,,,,,,,,,,,,,,,,,
vengefulness,,,,,,,,,,,,,,,,,,,,,,,,,,,
others,,,,,,,,,,,,,,X,,,,,,,,,,,,,
like,,,X,,,,,,,,,,,,,,,,,,,,,,,,
cause,,,,,,,,,,,,,,X,,,,,,,,,,,,,
harm,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
grieving,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
awkward,,,,,,,X,,X,X,,,X,,,,,,,,,,,,,,
grievance,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
when,,,,X,,,,,,,,,,,,,,,,,,,,,,X,
fell,X,,,,,,,,,,,,,,,,,,,,,,X,,,X,
life,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacks,X,,,,,,,,,,,,,X,,,,,X,,,X,,X,,,
meaning,,,,,,,,,,,,,,X,,,,,,,,,,,,,
nervous,,X,,,,,X,,X,X,,,,,,,,,,,,,,,,,
decidedness,,,,,,,,,,,,,,,,,,,,,,,,,,,
depression,,,,,,,X,,X,,,X,,,,,,,,,,,,,,,
