Word	01                    care.virtue	02                    care.vice	03                    fairness.virtue	04                    fairness.vice	05                    loyalty.virtue	06                    loyalty.vice	07                    authority.virtue	08                    authority.vice	09                    sanctity.virtue	10                    sanctity.vice	11                    moral	
desc											
rsn											
insult											
na											
they											
have											
emotional											
imbalances											
that											
need											
to											
learn											
control							X				
feel											
very											
hurt		X									
and											
are											
unable											
let											
go											
of											
the											
pain											
in											
order							X				
grudge											
cannot											
for											
whatever											
reason											
express											
their											
anger											
immediately											
or											
it											
as											
an											
alternative											
people											
hold											
grudges											
because											
humans											
sensitive											
egos											
easy											
wound		X									
tend											
be											
prideful											
stubborn											
leads											
holding											
is											
far											
easier											
place											
blame											
solely											
on											
shoulders											
person											
who											
isn't											
you											
but											
many											
issues											
two											
sided											
can											
seen											
from											
several											
perspectives											
however											
held											
understandably											
when											
someone											
intentionally											
commits											
a											
crime											
act											
deliberately											
cause											
irreversible											
harm		X									
else											
them											
we											
can't											
felt											
by											
someone's											
actions											
i											
think											
typically											
after											
being											
betrayed											
experiencing											
some											
perceived											
betrayal											
other											
doesn't											
apologize											
refuses											
see											
how											
could											
upset											
with											
something											
did											
generally											
feels											
wronged											X
another											
unwilling											
either											
forgive											
accept											
wrongdoing											X
move											
often											
unintentionally											
may											
against											
wrong											X
past											
example											
boss											
fired											
job											
does											
do											
not											
like											
fond											
wounded		X									
want											
project											
others											
has											
done											
bad											X
make											
consequences											
slights											
purpose											
accident											
live											
up											
mistake											
says											
rude											
horrible											
what											
only											
speak											
my											
experience											
me											
care	X										
about											
emotionally											
physically											
refused											
acknowledge											
caused											
loved											
one's											
validated											
usually											
likely											
continues											
affect											
way											
taken											
affected											
negatively											
would											
such											
feelings											
got											
get											
last											
word											
so											
things											
should											
balanced											
were											
won't											
until											
equalized			X								
fear											
won											
over											
disrespectful								X			
offenses											
ultimately											
stems											
feeling											
having											
your											
self											
worth											X
belittled											
great											
offense											
occurred											
sort											
personal											
injury											
been											
unfairly				X							
treated											
it's											
aren't											
ready											
maybe											
keep											
those											
emotions											
remember											
happened											
if											
significant											
affects											
life											
negative											
at											
clear											
level											
this											
egotism											
petty											
wrongdoings											X
traumatic											
experiences											
money											
related											
events											
premeditated											
direct											
indirect											
ones											
will											
don't											
again											
action											
inspired											
reflected											
false											
image											
themselves											
believe											
am											
good											X
taking											
home											
steals											
fork											
dinner											
party											
might											
identity											
tied											
ability											
protect	X										
cutlery											
just											
friends											
steal											
friend											
shattered											
belief											
difficult											
complex											
unresolved											
repeatedly											
expects											
met											
fulfilled											
lead											
disappointment											
cases											
humiliated											
jeolousy											
losing											
memory											
damage		X									
reprehensible											
acts											
pride											
easily											
they've											
there's											
no											
acknowledgement											
restitution											
source											
forgiving											
hard											
slighted											
decides											
onto											
rather											
than											
rid											
still											
perhaps											
haven't											
had											
closure											
topic											
all											
situation											
jealousy											
romantic											
partners											
prove											
point											
particularly											
corrected											
longer											
view											
offender											
same											
trust											
anymore											
